AH-LEU-CHA (AH LEV CHA),CharlieParkerOmniBookEb,86
ANOTHER HAIRDO,CharlieParkerOmniBookEb,104
ANTHROPOLOGY,CharlieParkerOmniBookEb,10
AU PRIVAVE (No. 1),CharlieParkerOmniBookEb,24
AU PRIVAVE (No 2),CharlieParkerOmniBookEb,26
BACK HOME BLUES,CharlieParkerOmniBookEb,106
BALLADE,CharlieParkerOmniBookEb,142
BARBADOS,CharlieParkerOmniBookEb,70
BILLIE'S BOUNCE (BILL'S BOUNCE),CharlieParkerOmniBookEb,80
THE BIRD,CharlieParkerOmniBookEb,110
BIRD GETS THE WORM,CharlieParkerOmniBookEb,94
BLOOMDIDO,CharlieParkerOmniBookEb,108
BLUE BIRD,CharlieParkerOmniBookEb,84
BLUES (FAST),CharlieParkerOmniBookEb,124
BLUES FOR ALICE ,CharlieParkerOmniBookEb,18
BUZZY,CharlieParkerOmniBookEb,78
CARD BOARD,CharlieParkerOmniBookEb,92
CELERITYâ€˜,CharlieParkerOmniBookEb,22
CHASING THE BIRD ,CharlieParkerOmniBookEb,82
CHERYL,CharlieParkerOmniBookEb,58
CHICHI,CharlieParkerOmniBookEb,28
CONFIRMATION,CharlieParkerOmniBookEb,1
CONSTELLATION                                    ,CharlieParkerOmniBookEb,45
COSMIC RAYS  ,CharlieParkerOmniBookEb,30
DEWEY SQUARE                                     ,CharlieParkerOmniBookEb,14
DIVERSE                                          ,CharlieParkerOmniBookEb,114
DONNA LEE                                        ,CharlieParkerOmniBookEb,48
K. C. BLUES                          ,CharlieParkerOmniBookEb,20
KIM (No 1)                                       ,CharlieParkerOmniBookEb,51
KIM (No. ,CharlieParkerOmniBookEb,54
KLAUN STANCE                                     ,CharlieParkerOmniBookEb,89
KO KO                             ,CharlieParkerOmniBookEb,62
LAIRD BA IRD                                     ,CharlieParkerOmniBookEb,32
LEAP FROG                     ,CharlieParkerOmniBookEb,130
MARMADUKE                              ,CharlieParkerOmniBookEb,68
MERRY-GO-ROUND                                   ,CharlieParkerOmniBookEb,117
MOHAWK (No. 1)                                   ,CharlieParkerOmniBookEb,38
MOHAWK (No 2).                                   ,CharlieParkerOmniBookEb,40
MOOSE THE MOOCH E                                ,CharlieParkerOmniBookEb,4
MY LITTLE SUEDE SHOES                            ,CharlieParkerOmniBookEb,120
NOW'S THE TIME (No 1)                            ,CharlieParkerOmniBookEb,74
NOW'S THE TIME (No. 2)                           ,CharlieParkerOmniBookEb,76
ORNITHOLOGY                                      ,CharlieParkerOmniBookEb,6
AN OSCAR FOR TREADWELL                           ,CharlieParkerOmniBookEb,42
PARKER'S MOOD             ,CharlieParkerOmniBookEb,134
PASSPORT                                         ,CharlieParkerOmniBookEb,102
PERHAPS                                          ,CharlieParkerOmniBookEb,72
RED CROSS                                       ,CharlieParkerOmniBookEb,66
RELAXING WITH LEE,CharlieParkerOmniBookEb,122
SCRAPPLE FROM THE_ APPLE                         ,CharlieParkerOmniBookEb,16
SEGMENT,CharlieParkerOmniBookEb,97
SHAWNUFF                                         ,CharlieParkerOmniBookEb,128
SHE ROTE (No 1)                                  ,CharlieParkerOmniBookEb,34
SHE ROTE (No 2)                                  ,CharlieParkerOmniBookEb,36
SI ST                                            ,CharlieParkerOmniBookEb,140
STEEPLECHASE                                     ,CharlieParkerOmniBookEb,112
THRIVING FROM A RIFF                             ,CharlieParkerOmniBookEb,60
VISA                                             ,CharlieParkerOmniBookEb,100
WARMING UP A RIFF,CharlieParkerOmniBookEb,136
YARDBIRD SUITE,CharlieParkerOmniBookEb,8
